ori,counties,is_nibrs,latitude,longitude,state_abbr,state_name,agency_name,agency_type_name,nibrs_start_date,parish
LA0640100,WINN,True,31.923979,-92.63959,LA,Louisiana,Winnfield Police Department,City,2023-01-01,WINN
LA0640000,WINN,True,31.941187,-92.641269,LA,Louisiana,Winn Parish Sheriff's Office,County,2019-03-01,WINN
LA0020000,ALLEN,True,30.652744,-92.819605,LA,Louisiana,Allen Parish Sheriff's Office,County,2021-09-01,ALLEN
LA0020100,ALLEN,False,30.652744,-92.819605,LA,Louisiana,Kinder Police Department,City,,ALLEN
LA0020200,ALLEN,False,30.817131,-92.66221,LA,Louisiana,Oakdale Police Department,City,,ALLEN
LA0020300,ALLEN,False,30.652744,-92.819605,LA,Louisiana,Oberlin Police Department,City,,ALLEN
LA0090400,CADDO,True,32.577195,-93.882423,LA,Louisiana,Blanchard Police Department,City,2021-01-01,CADDO
LA0090800,CADDO,True,32.577195,-93.882423,LA,Louisiana,Ida Police Department,City,2020-09-01,CADDO
LA0091000,CADDO,True,32.577195,-93.882423,LA,Louisiana,Greenwood Police Department,City,2021-01-01,CADDO
LA0090000,CADDO,True,32.51362,-93.7506,LA,Louisiana,Caddo Parish Sheriff's Office,County,2004-01-01,CADDO
LA0220000,GRANT,True,31.597787,-92.561716,LA,Louisiana,Grant Parish Sheriff's Office,County,2021-01-01,GRANT
LA0560000,UNION,False,32.829349,-92.37565,LA,Louisiana,Union Parish Sheriff's Office,County,,UNION
LA0560400,UNION,True,32.901417,-92.24312,LA,Louisiana,Marion Police Department,City,2020-09-01,UNION
LA0560100,UNION,True,32.829349,-92.37565,LA,Louisiana,Farmerville Police Department,City,2023-01-01,UNION
LA0560200,UNION,True,32.829349,-92.37565,LA,Louisiana,Bernice Police Department,City,2005-01-01,UNION
LA0010000,ACADIA,True,30.291497,-92.411037,LA,Louisiana,Acadia Parish Sheriff's Office,County,2006-09-01,ACADIA
LA0010100,ACADIA,True,30.291497,-92.411037,LA,Louisiana,Crowley Police Department,City,2021-01-01,ACADIA
LA0010300,ACADIA,True,30.405752,-92.21725,LA,Louisiana,Church Point Police Department,City,2020-04-01,ACADIA
LA0010200,ACADIA,True,30.291497,-92.411037,LA,Louisiana,Rayne Police Department,City,2020-09-01,ACADIA
